n,gram,base_gram_mean_count,found_gram_count,manual_q1_q3,manual_median,found_prob,diff_from_iqr
1,N,62.833333,61,0.003707–0.032279,0.012948,1.000000,0.967721
1,WR,1005.083333,0,0.302592–0.311094,0.304542,0.000000,0.302592
1,D,544.666667,0,0.157376–0.179503,0.166093,0.000000,0.157376
1,SN,501.666667,0,0.140201–0.165082,0.156175,0.000000,0.140201
1,SE,502.000000,0,0.139776–0.164834,0.156799,0.000000,0.139776
1,LD,498.250000,0,0.138180–0.164757,0.152400,0.000000,0.138180
1,PH,81.083333,0,0.023649–0.026847,0.024366,0.000000,0.023649
1,E,63.583333,0,0.007677–0.033214,0.012399,0.000000,0.007677
1,LM,20.000000,0,0.004516–0.007068,0.005899,0.000000,0.004516
1,EM,1.500000,0,0.000000–0.000083,0.000000,0.000000,0.000000
